hogar_id,survey_wave,income_q,income,d_dispersion,d_wealth_ratio,adj_ratio,pesoEFHU
,1.0,4.0,5024.9507,0.0,0.0,,5.0
,1.0,3.0,2557.4009,0.0,0.0,,65.0
,1.0,3.0,2557.4009,0.0,0.0,,65.0
,1.0,4.0,6504.9502,11.976665770490767,0.77941179,,9.0
,1.0,4.0,8492.4014,10.308985993422082,0.20689656,,80.0
,1.0,4.0,8492.4014,10.308985993422082,0.20689656,,80.0
,1.0,1.0,0.0,8.987321812850125,,,47.0
,1.0,5.0,14103.4,12.301387370778713,0.65671641,,83.0
,1.0,5.0,14103.4,12.301387370778713,0.65671641,,83.0
,1.0,5.0,14103.4,12.301387370778713,0.65671641,,83.0
,1.0,5.0,10052.895,12.491255347155265,0.97974217,,92.0
,1.0,5.0,10052.895,12.491255347155265,0.97974217,,92.0
,1.0,5.0,10052.895,12.491255347155265,0.97974217,,92.0
,1.0,5.0,10052.895,12.491255347155265,0.97974217,,92.0
,1.0,4.0,8549.9014,12.345838935721968,0.97872341,,104.0
,1.0,4.0,8549.9014,12.345838935721968,0.97872341,,104.0
,1.0,4.0,8549.9014,12.345838935721968,0.97872341,,104.0
,1.0,5.0,15054.701,12.618185607609803,0.75594491,,70.0
,1.0,5.0,15054.701,12.618185607609803,0.75594491,,70.0
,1.0,5.0,15674.802,10.308985993422082,0.36363637,,99.0
,1.0,5.0,15674.802,10.308985993422082,0.36363637,,99.0
,1.0,5.0,15674.802,10.308985993422082,0.36363637,,99.0
,1.0,5.0,15674.802,10.308985993422082,0.36363637,,99.0
,1.0,5.0,15674.802,10.308985993422082,0.36363637,,99.0
,1.0,5.0,15674.802,10.308985993422082,0.36363637,,99.0
,1.0,5.0,21000.0,12.618185607609803,0.75594491,,1.0
,1.0,5.0,21000.0,12.618185607609803,0.75594491,,1.0
,1.0,1.0,0.0,8.987321812850125,,,73.0
,1.0,1.0,0.0,8.987321812850125,,,73.0
,1.0,4.0,8474.9512,0.0,0.0,,77.0
,1.0,4.0,8474.9512,0.0,0.0,,77.0
,1.0,5.0,17749.9,12.301387370778713,0.92436975,,85.0
,1.0,5.0,17749.9,12.301387370778713,0.92436975,,85.0
,1.0,5.0,17749.9,12.301387370778713,0.92436975,,85.0
,1.0,5.0,17749.9,12.301387370778713,0.92436975,,85.0
,1.0,5.0,21000.0,12.175618592671356,0.9260143,,103.0
,1.0,5.0,21000.0,12.175618592671356,0.9260143,,103.0
,1.0,5.0,21000.0,12.175618592671356,0.9260143,,103.0
,1.0,5.0,21000.0,12.175618592671356,0.9260143,,103.0
,1.0,4.0,9674.8516,12.154784614286667,0.95959598,,128.0
,1.0,4.0,9674.8516,12.154784614286667,0.95959598,,128.0
,1.0,4.0,9674.8516,12.154784614286667,0.95959598,,128.0
,1.0,5.0,13724.951,10.308985993422082,0.27777779,,92.0
,1.0,5.0,11012.802,9.210440366976517,0.18181819,,47.0
,1.0,5.0,11012.802,9.210440366976517,0.18181819,,47.0
,1.0,5.0,11012.802,9.210440366976517,0.18181819,,47.0
,1.0,5.0,11012.802,9.210440366976517,0.18181819,,47.0
,1.0,5.0,21000.0,10.609081944147828,0.26045015,,1.0
,1.0,5.0,21000.0,10.609081944147828,0.26045015,,1.0
,1.0,5.0,21000.0,10.609081944147828,0.26045015,,1.0
