Case,CEV_BA,ConsumptionVolatility,DurVolatility
No dollar savings,10.588147589225287,25305.215861491768,1.8626446968261343
High adj. cost,-0.8233930484564556,0.469725992818082,1.0842022865640339e-19
Fixed ER,7.391147801257342e9,1778.8723082831834,16.216429854866355
High ER volatility,39096.752126055384,854390.2858478845,73.92049186172086
