Case,CEV_BA,Lambda,WelfareChange_A_to_B_keep_dist,WelfareChange_across_SS
Durable FCost 1,-0.4080487211030507,0.6893282194835606,-132.25980110116248,-68.93282194835606
Durable FCost 2,-0.40804872110296597,0.6893282194833188,-132.2598011011364,-68.93282194833189
Durable FCost 3,-4.949374243778948e-13,4.949374243778948e-13,-4.9490832687509354e-11,-4.9490832687509354e-11
Fixed ER,0.05113421934646656,-0.04864670791353254,3.8007096510305364e-10,4.864670791353256
High Volatility,-0.11624197684264437,0.13153145295060842,4.459468337951831,-13.153145295060833
