survey_wave,total_savings_final,durables_final,hogar_id,pesoEFHU,household_income_q,income_q,d_income_ratio,d_wealth_ratio,adj_ratio
1,72500,194000,,74,16389.9,5,11.836557,.72795498,
1,72500,194000,,74,16389.9,5,11.836557,.72795498,
1,30500,152000,,29,10189.95,5,14.916657,.83287674,
1,115000,30000,,64,16875,5,1.7777778,.20689656,
1,115000,30000,,64,16875,5,1.7777778,.20689656,
1,97500,302000,,71,12487.451,5,24.184278,.75594491,
1,97500,130000,,74,10834.9,5,11.998264,.5714286,
1,97500,130000,,74,10834.9,5,11.998264,.5714286,
1,97500,130000,,74,10834.9,5,11.998264,.5714286,
1,33000,5000,,80,3726.6509,3,1.3416872,.13157895,
1,33000,5000,,80,3726.6509,3,1.3416872,.13157895,
1,33000,112000,,44,17831.502,5,6.2810187,.77241379,
1,33000,112000,,44,17831.502,5,6.2810187,.77241379,
1,33000,112000,,44,17831.502,5,6.2810187,.77241379,
1,33000,112000,,44,17831.502,5,6.2810187,.77241379,
1,52500,207000,,83,21000,5,9.8571424,.79768789,
1,52500,207000,,83,21000,5,9.8571424,.79768789,
1,52500,207000,,83,21000,5,9.8571424,.79768789,
1,52500,207000,,83,21000,5,9.8571424,.79768789,
1,15500,70000,,78,6509.9507,4,10.752769,.81871343,
1,52500,150000,,78,6187.5,4,24.242424,.74074072,
1,52500,150000,,78,6187.5,4,24.242424,.74074072,
1,78000,117000,,50,9550,4,12.251308,.60000002,
1,8000,9000,,106,6987.4009,4,1.2880325,.52941179,
1,8000,9000,,106,6987.4009,4,1.2880325,.52941179,
1,37500,10000,,66,11174.951,5,.89485848,.21052632,
1,37500,10000,,66,11174.951,5,.89485848,.21052632,
1,78000,30000,,1,21000,5,1.4285715,.27777779,
1,78000,30000,,1,21000,5,1.4285715,.27777779,
1,78000,302000,,56,15618.45,5,19.336105,.79473686,
1,78000,302000,,56,15618.45,5,19.336105,.79473686,
1,18000,205000,,72,10224.901,5,20.049093,.9192825,
1,18000,205000,,72,10224.901,5,20.049093,.9192825,
1,115000,35000,,75,21000,5,1.6666666,.23333333,
1,,300000,,84,0,1,,,
1,15000,45000,,344,7007.9326,4,6.4212947,.75,
1,15000,45000,,344,7007.9326,4,6.4212947,.75,
1,15000,45000,,344,7007.9326,4,6.4212947,.75,
1,55000,225000,,1,21000,5,10.714286,.8035714,
1,55000,225000,,1,21000,5,10.714286,.8035714,
1,55000,225000,,1,21000,5,10.714286,.8035714,
1,,38000,,81,0,1,,,
1,15500,60000,,78,7950,4,7.5471697,.79470199,
1,15500,60000,,78,7950,4,7.5471697,.79470199,
1,53000,110000,,119,7442.3462,4,14.780285,.67484665,
1,53000,110000,,119,7442.3462,4,14.780285,.67484665,
1,53000,110000,,119,7442.3462,4,14.780285,.67484665,
1,15500,90300,,62,7447.0381,4,12.125627,.85349715,
1,15500,90300,,62,7447.0381,4,12.125627,.85349715,
1,15500,90300,,62,7447.0381,4,12.125627,.85349715,
1,15500,90300,,62,7447.0381,4,12.125627,.85349715,
1,30000,95000,,54,5059.6924,4,18.775845,.75999999,
1,30000,95000,,54,5059.6924,4,18.775845,.75999999,
1,97500,302000,,558,21000,5,14.380953,.75594491,
1,97500,302000,,558,21000,5,14.380953,.75594491,
1,37500,80000,,43,8900,4,8.9887638,.68085104,
1,5000,0,,51,2190.8999,3,0,0,
1,78000,15000,,76,14077.038,5,1.0655651,.16129032,
1,78000,15000,,76,14077.038,5,1.0655651,.16129032,
1,78000,15000,,76,14077.038,5,1.0655651,.16129032,
1,40000,108000,,38,2642.3462,3,40.872768,.72972971,
1,,5000,,30,0,1,,,
1,85000,5000,,20,18272.193,5,.27363983,.055555556,
1,85000,5000,,20,18272.193,5,.27363983,.055555556,
1,85000,5000,,20,18272.193,5,.27363983,.055555556,
1,115000,205000,,9,5267.3462,4,38.919029,.640625,
1,115000,205000,,9,5267.3462,4,38.919029,.640625,
1,0,177000,,76,3994.6919,3,44.3088,1,
1,0,177000,,76,3994.6919,3,44.3088,1,
1,10000,265000,,1,21000,5,12.619047,.96363634,
1,10000,265000,,1,21000,5,12.619047,.96363634,
1,15500,3000,,76,7385.0459,4,.40622631,.16216215,
1,15500,3000,,76,7385.0459,4,.40622631,.16216215,
1,15500,3000,,76,7385.0459,4,.40622631,.16216215,
1,,,,167,0,1,,,
1,,0,,232,0,1,,,
1,,0,,242,0,1,,,
1,,0,,242,0,1,,,
1,,0,,242,0,1,,,
1,,0,,242,0,1,,,
1,,0,,413,0,1,,,
1,,0,,317,0,1,,,
1,,0,,317,0,1,,,
1,,0,,317,0,1,,,
1,,0,,341,0,1,,,
1,,0,,347,0,1,,,
1,,0,,347,0,1,,,
1,,80000,,288,0,1,,,
1,,0,,331,0,1,,,
1,,110000,,312,0,1,,,
1,,0,,382,0,1,,,
1,,0,,290,0,1,,,
1,,,,269,0,1,,,
1,,0,,322,0,1,,,
1,,7000,,289,0,1,,,
1,,0,,210,0,1,,,
1,,0,,230,0,1,,,
1,,8000,,285,0,1,,,
1,,8000,,285,0,1,,,
1,,0,,222,0,1,,,
1,,0,,222,0,1,,,
1,,205000,,175,0,1,,,
1,,205000,,175,0,1,,,
1,,205000,,175,0,1,,,
1,,0,,224,0,1,,,
1,,0,,224,0,1,,,
1,,0,,224,0,1,,,
1,,40000,,180,0,1,,,
1,,100,,246,0,1,,,
1,,0,,249,0,1,,,
1,,0,,249,0,1,,,
1,,9000,,193,0,1,,,
1,,9000,,193,0,1,,,
1,,9000,,193,0,1,,,
1,,0,,233,0,1,,,
1,,0,,233,0,1,,,
1,,0,,195,0,1,,,
1,,0,,195,0,1,,,
1,,0,,195,0,1,,,
1,,1000,,303,0,1,,,
1,,1000,,303,0,1,,,
1,,55000,,362,0,1,,,
1,,55000,,362,0,1,,,
1,,0,,253,0,1,,,
1,,6000,,257,0,1,,,
1,,6000,,257,0,1,,,
1,,0,,327,0,1,,,
1,,0,,327,0,1,,,
1,,0,,289,0,1,,,
1,,0,,289,0,1,,,
1,,300,,407,0,1,,,
1,,300,,407,0,1,,,
1,,0,,463,0,1,,,
1,,0,,463,0,1,,,
1,,0,,337,0,1,,,
1,,0,,281,0,1,,,
1,,0,,281,0,1,,,
1,,35000,,324,0,1,,,
1,,35000,,324,0,1,,,
1,,10000,,369,0,1,,,
1,,10000,,369,0,1,,,
1,,10000,,369,0,1,,,
1,,0,,294,0,1,,,
1,,0,,294,0,1,,,
1,,2700,,338,0,1,,,
1,,2700,,338,0,1,,,
1,,2700,,338,0,1,,,
1,,0,,441,0,1,,,
1,,190000,,406,0,1,,,
1,,190000,,406,0,1,,,
1,,35000,,518,0,1,,,
1,,35000,,518,0,1,,,
1,,35000,,518,0,1,,,
1,,9500,,413,0,1,,,
1,,9500,,413,0,1,,,
1,,9500,,413,0,1,,,
1,,9500,,413,0,1,,,
1,,70000,,264,0,1,,,
1,,160000,,329,0,1,,,
1,,160000,,329,0,1,,,
1,,160000,,329,0,1,,,
1,,145000,,230,0,1,,,
1,,145000,,230,0,1,,,
1,,145000,,230,0,1,,,
1,,143500,,360,0,1,,,
1,,143500,,360,0,1,,,
1,,154500,,416,0,1,,,
1,,270000,,396,0,1,,,
1,,270000,,396,0,1,,,
1,,162000,,300,0,1,,,
1,,162000,,300,0,1,,,
1,,162000,,300,0,1,,,
1,,162000,,300,0,1,,,
1,,162000,,300,0,1,,,
1,,215000,,329,0,1,,,
1,,215000,,329,0,1,,,
1,,215000,,329,0,1,,,
1,,215000,,329,0,1,,,
1,,215000,,329,0,1,,,
1,,136000,,461,0,1,,,
1,,136000,,461,0,1,,,
1,,136000,,461,0,1,,,
1,,0,,467,0,1,,,
1,,0,,187,0,1,,,
1,,0,,187,0,1,,,
1,,0,,187,0,1,,,
1,,0,,187,0,1,,,
1,,900,,319,0,1,,,
1,,900,,319,0,1,,,
1,,900,,319,0,1,,,
1,,900,,319,0,1,,,
1,,0,,354,0,1,,,
1,,0,,354,0,1,,,
1,,0,,354,0,1,,,
1,,0,,354,0,1,,,
1,,50000,,363,0,1,,,
1,,0,,372,0,1,,,
1,,31350,,411,0,1,,,
1,,31350,,411,0,1,,,
1,,31350,,411,0,1,,,
1,,40000,,277,0,1,,,
1,,40000,,277,0,1,,,
1,,40000,,277,0,1,,,
1,,1200,,377,0,1,,,
1,,1200,,377,0,1,,,
1,,1200,,377,0,1,,,
1,,1200,,377,0,1,,,
1,,134500,,395,0,1,,,
1,,134500,,395,0,1,,,
1,,134500,,395,0,1,,,
1,,185000,,428,0,1,,,
1,,133000,,415,0,1,,,
1,,40000,,223,0,1,,,
1,,0,,173,0,1,,,
1,,0,,173,0,1,,,
1,,0,,173,0,1,,,
1,,89000,,205,0,1,,,
1,,89000,,205,0,1,,,
1,,89000,,205,0,1,,,
1,,119000,,306,0,1,,,
1,,119000,,306,0,1,,,
1,,160000,,1,0,1,,,
1,,160000,,1,0,1,,,
1,,160000,,1,0,1,,,
1,,151000,,306,0,1,,,
1,,151000,,306,0,1,,,
1,,151000,,306,0,1,,,
1,,151000,,306,0,1,,,
1,,0,,366,0,1,,,
